"rank","priority","score","agent","segment","ecosystem","physical_assumption","problem","payment_evidence","buyer_authority","protocol_fit","plausible_error_cost","break_even_at_2_usd","contact_path","previous_outreach","next_action","source","verified_on"
"11","B","56","BlackSwan","risk/RWA","Agentic Market / x402","A claimed real-world asset, event, condition, or compliance fact is physically true and current","Attach fresh independent evidence to a claim before settlement, underwriting, or escalation","Public x402 listing; Base-compatible=True; listed 30-day signal: 9 payer(s), 13 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$100+","<=2%","https://blackswan.wtf/","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"12","B","56","Exa","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 123 payer(s), 6292 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://exa.ai","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"13","B","56","StableMerch","commerce/logistics","Agentic Market / x402","The item, shelf price, stock, package, display, or delivery state exists as represented right now","Verify stock, price, condition, merchandising, pickup, or delivery before money or state changes","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$10+","<=20%","https://stablemerch.dev","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"14","B","54","Amadeus","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://developers.amadeus.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"15","B","53","Browserbase","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 25 payer(s), 193 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://x402.browserbase.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"16","B","53","Clado","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 30 payer(s), 751 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://docs.clado.ai","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"17","B","53","CoinGecko","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 86 payer(s), 103 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://www.coingecko.com/","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"18","B","53","CoinMarketCap","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 44 payer(s), 201 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://coinmarketcap.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"19","B","50","Alchemy","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://www.alchemy.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"20","B","50","Heurist Mesh","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://www.mesh.xyz/","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"21","B","49","Minifetch","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 33 payer(s), 81 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://minifetch.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"22","B","46","Allium","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 6 payer(s), 12 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://agents.allium.so","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"23","B","46","Capminal","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 6 payer(s), 15 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://www.capminal.ai","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"24","B","46","ChainQuery","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 14 payer(s), 26 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://chainquery.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"25","B","46","Deepgram","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 1 payer(s), 1 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://developers.deepgram.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"26","B","46","Dripstack","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 1 payer(s), 2 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://dripstack.xyz","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"27","B","46","Gloria AI","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 10 payer(s), 24 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://iamgloria.com/","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"28","B","46","Messari","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 11 payer(s), 38 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://api.messari.io","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"29","B","46","SLAMai","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 10 payer(s), 16 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://slamai.xyz","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"30","B","46","Zerion","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 6 payer(s), 18 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://developers.zerion.io","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"31","C","43","vibesprings.net","property/facilities","Agentic Market / x402","The premises, equipment, damage, access, or occupancy matches the digital record right now","Prevent a remote decision from relying on stale listing, sensor, or maintenance data","Public x402 listing; Base-compatible=True; listed 30-day signal: 80 payer(s), 545 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$100+","<=2%","https://vibesprings.net","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"32","C","42","Agent Camo (VPN)","agent infrastructure","Agentic Market / x402","A downstream agent can safely act on a present physical fact that its APIs cannot directly observe","Offer a paid physical-world verification primitive to agents already buying digital tools","Public x402 listing; Base-compatible=True; listed 30-day signal: 2 payer(s), 36 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","Requires discovery","Not yet calculable","https://agentcamo.xyz","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"33","C","42","agent402.tools","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 819 payer(s), 7747 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://agent402.tools","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"34","C","42","Anchor Browser","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://anchorbrowser.io","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"35","C","42","api.hergertsynthora.com","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 109 payer(s), 136 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://api.hergertsynthora.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"36","C","42","api.oblique.markets","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 357 payer(s), 766 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://api.oblique.markets","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"37","C","42","Apollo","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://docs.apollo.io","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"38","C","42","Arkham","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://arkm.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"39","C","42","Cambrian","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://cambrian.network","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"40","C","42","Firecrawl","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://www.firecrawl.dev/","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"41","C","42","Hunter","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://hunter.io","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"42","C","42","Hyperbrowser","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://hyperbrowser.ai","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"43","C","42","Parallel","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://parallel.ai","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"44","C","42","Perplexity","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://docs.perplexity.ai","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"45","C","42","QuickNode","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://x402.quicknode.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"46","C","42","ScreenshotOne","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://screenshotone.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"47","C","42","Sponge","agent infrastructure","Agentic Market / x402","A downstream agent can safely act on a present physical fact that its APIs cannot directly observe","Offer a paid physical-world verification primitive to agents already buying digital tools","Public x402 listing; Base-compatible=True; listed 30-day signal: 19 payer(s), 20 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","Requires discovery","Not yet calculable","https://paysponge.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"48","C","42","SpyFu","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://www.spyfu.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"49","C","42","SurfAI","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://asksurf.ai","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
